,borough,block,lot,lat,lng,address
8982,Brooklyn,1754,1,40.694526,-73.951992,"147 Nostrand Ave, Brooklyn, NY 11205, USA"
8983,Brooklyn,1754,33,40.69503,-73.950065,"806 Myrtle Ave, Brooklyn, NY 11206, USA"
8984,Brooklyn,1755,20,40.6952766,-73.9479433,"854 Myrtle Ave, Brooklyn, NY 11206, USA"
8985,Brooklyn,1762,41,40.69235,-73.955004,"200 Spencer St, Brooklyn, NY 11205, USA"
8986,Brooklyn,1763,24,40.692697,-73.954532,"183 Spencer St, Brooklyn, NY 11205, USA"
8987,Brooklyn,1764,1,40.6913289,-73.9518016,"607 Dekalb Ave, Brooklyn, NY 11216, USA"
8988,Brooklyn,1766,47,40.6933103,-73.9489783,"620 Marcy Ave, Brooklyn, NY 11206, USA"
8989,Brooklyn,1769,11,40.694455,-73.9424474,"670 Willoughby Ave, Brooklyn, NY 11206, USA"
8990,Brooklyn,1774,10,40.6919544,-73.9511364,"16 Pulaski St, Brooklyn, NY 11206, USA"
8991,Brooklyn,1776,67,40.69239,-73.944542,"793 Dekalb Ave, Brooklyn, NY 11221, USA"
8992,Brooklyn,1777,15,40.6930725,-73.9410074,"280 Pulaski St, Brooklyn, NY 11221, USA"
8993,Brooklyn,1778,49,40.6909553,-73.9530193,"590 Dekalb Ave, Brooklyn, NY 11205, USA"
8994,Brooklyn,1778,89,40.6909299,-73.9538911,"564 Dekalb Ave, Brooklyn, NY 11205, USA"
8995,Brooklyn,1781,40,40.692078,-73.943082,"830 Dekalb Ave, Brooklyn, NY 11221, USA"
